fish_id,site_id,year,day,month,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,comments
4846,174,2006,28,3,Burdwood,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4847,174,2006,28,3,Burdwood,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4848,174,2006,28,3,Burdwood,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4849,174,2006,28,3,Burdwood,,pink,33,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4850,174,2006,28,3,Burdwood,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4851,174,2006,28,3,Burdwood,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4852,174,2006,28,3,Burdwood,,pink,34,,,,,,,,0,,,,,,,,,,,,,,,,,,
4853,174,2006,28,3,Burdwood,,pink,34,,,,,,,,0,,,,,,,,,,,,,,,,,,
4854,174,2006,28,3,Burdwood,,pink,34,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4855,174,2006,28,3,Burdwood,,pink,34,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4856,174,2006,28,3,Burdwood,,pink,34,,,,,,,,0,,,,,,,,,,,,,,,,,,
4857,174,2006,28,3,Burdwood,,pink,34,,,,,,,,0,,,,,,,,,,,,,,,,,,
4858,174,2006,28,3,Burdwood,,pink,34,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4859,174,2006,28,3,Burdwood,,pink,34,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4860,174,2006,28,3,Burdwood,,pink,34,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4861,174,2006,28,3,Burdwood,,pink,34,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4862,174,2006,28,3,Burdwood,,pink,34,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4863,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4864,174,2006,28,3,Burdwood,,pink,35,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4865,174,2006,28,3,Burdwood,,pink,35,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4866,174,2006,28,3,Burdwood,,pink,35,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4867,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4868,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4869,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4870,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4871,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4872,174,2006,28,3,Burdwood,,pink,35,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4873,174,2006,28,3,Burdwood,,pink,35,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4874,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4875,174,2006,28,3,Burdwood,,pink,35,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4876,174,2006,28,3,Burdwood,,pink,35,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4877,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4878,174,2006,28,3,Burdwood,,pink,35,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4879,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4880,174,2006,28,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4881,174,2006,28,3,Burdwood,,pink,35,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4882,174,2006,28,3,Burdwood,,pink,36,,,,,,,,0,,,,,,,,,,,,,,,,,,
4883,174,2006,28,3,Burdwood,,pink,36,,,,,,,,0,,,,,,,,,,,,,,,,,,
4884,174,2006,28,3,Burdwood,,pink,36,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4885,174,2006,28,3,Burdwood,,pink,36,,,,,,,,0,,,,,,,,,,,,,,,,,,
4886,174,2006,28,3,Burdwood,,pink,36,,1,1,,,,,0,,,,,,,,,,,,,,,,,,
4887,174,2006,28,3,Burdwood,,pink,36,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4888,174,2006,28,3,Burdwood,,pink,36,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4889,174,2006,28,3,Burdwood,,pink,36,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4890,174,2006,28,3,Burdwood,,pink,36,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4891,174,2006,28,3,Burdwood,,pink,36,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4892,174,2006,28,3,Burdwood,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4893,174,2006,28,3,Burdwood,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4894,174,2006,28,3,Burdwood,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4895,174,2006,28,3,Burdwood,,pink,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4896,174,2006,28,3,Burdwood,,pink,38,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4897,174,2006,28,3,Burdwood,,pink,38,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4898,174,2006,28,3,Burdwood,,pink,38,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4899,174,2006,28,3,Burdwood,,pink,38,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4900,174,2006,28,3,Burdwood,,pink,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4901,174,2006,28,3,Burdwood,,pink,38,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4902,174,2006,28,3,Burdwood,,pink,38,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4903,174,2006,28,3,Burdwood,,pink,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4904,174,2006,28,3,Burdwood,,pink,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4905,174,2006,28,3,Burdwood,,pink,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4906,174,2006,28,3,Burdwood,,pink,38,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4907,174,2006,28,3,Burdwood,,pink,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4908,174,2006,28,3,Burdwood,,pink,39,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4909,174,2006,28,3,Burdwood,,pink,39,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4910,174,2006,28,3,Burdwood,,pink,39,,,,,,,,0,,,,,,,,,,,,,,,,,,
4911,174,2006,28,3,Burdwood,,pink,42,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4912,174,2006,28,3,Burdwood,,pink,42,,2,1,,,,,0,,,,,,,,,,,,,,,,,,
4913,174,2006,28,3,Burdwood,,pink,43,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4914,175,2006,29,3,Glacier,,chum,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4915,175,2006,29,3,Glacier,,chum,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4916,175,2006,29,3,Glacier,,chum,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4917,175,2006,29,3,Glacier,,chum,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4918,175,2006,29,3,Glacier,,chum,34,,,,,,,,0,,,,,,,,,,,,,,,,,,
